"variable","corr","corr_rank","lm_rank","rf_rank","lasso_nonzero","agg_score"
"Avg_Child_Obesity_MBI2SD",0.861386958274866,1,3,1,TRUE,5
"Avg_Diabetes_18",0.68677992426673,2,4,2,TRUE,8
"PerCapita_Consumption_Min",0.136641348132793,3,1,12,FALSE,16
"PerCapita_Consumption_Max",0.136156833085384,4,2,14,FALSE,20
"Avg_Males_Obesity_BMI_30kg_m2",0.133210349108897,5,5,11,FALSE,21
"Animal_based_Food_Average",-0.127275887916182,6,12,4,FALSE,22
"Avg_Females_Obesity_BMI_30kg_m2",0.0792679625657954,9,10,3,FALSE,22
"Avg_Boys_Percent",0.0684870451202379,10,8,5,FALSE,23
"Avg_Girls_Percent",0.0499745408220036,13,6,7,FALSE,26
"Sum_Years_Span",0.0501835020468176,12,9,6,FALSE,27
"Avg_Physical_Act2000_2030",-0.0975503301103103,8,13,8,FALSE,29
"Avg_Vege_cons",-0.0483502344949028,14,7,10,FALSE,31
"Annual_FastFood_Sales_USD",0.0999922912677459,7,14,13,FALSE,34
"Death_RateRelative_Change",0.0391810405352936,15,11,9,FALSE,35
"Avg_Age",-0.0609755510069581,11,15,15,FALSE,41
"Avg_Fruit",0.0296884180025144,16,Inf,Inf,FALSE,216
"Years_Count",-0.0160793891540841,17,Inf,Inf,FALSE,217
"Animal_Protein_Intake",0.0160548942502872,18,Inf,Inf,FALSE,218
"Avg_SugarCons_PerCapita_2019_2022",-0.0129490198051811,19,Inf,Inf,FALSE,219
