"variable","IncMSE"
"Avg_Child_Obesity_MBI2SD",41.7721721063625
"Avg_Diabetes_18",21.9697941585205
"Avg_Females_Obesity_BMI_30kg_m2",2.79383325706246
"Animal_based_Food_Average",1.41674936511933
"Avg_Boys_Percent",1.2796977408632
"Sum_Years_Span",0.832475664691216
"Avg_Girls_Percent",0.535040405537176
"Avg_Physical_Act2000_2030",0.489415041645983
"Death_RateRelative_Change",-0.254787666297459
"Avg_Vege_cons",-0.396186765655135
"Avg_Males_Obesity_BMI_30kg_m2",-0.644981222303446
"PerCapita_Consumption_Min",-0.985354031043007
"Annual_FastFood_Sales_USD",-1.07802586590531
"PerCapita_Consumption_Max",-1.62125114696843
"Avg_Age",-2.47293350394409
