"term","estimate","std.error","statistic","p.value"
"PerCapita_Consumption_Min",0.771847055836667,0.501249309544082,1.53984662151198,0.125393715053975
"PerCapita_Consumption_Max",-0.72368842594227,0.498662861301011,-1.45125791813364,0.148488135243692
"Avg_Child_Obesity_MBI2SD",0.714038962640784,0.0440499141898388,16.2097696618327,0.000000000000000000000000000000000000949974874348712
"Avg_Diabetes_18",0.238120300099898,0.0441849060992853,5.38917746175203,0.000000224891408511552
"Avg_Males_Obesity_BMI_30kg_m2",0.0753968453252902,0.079009290130039,0.954278227297028,0.341251647394101
"Avg_Girls_Percent",0.0711171593968309,0.0987094796078806,0.720469398474604,0.472191834473903
"Avg_Vege_cons",-0.0571548078308225,0.0347834571770519,-1.64316064213795,0.102135005929865
"Avg_Boys_Percent",-0.0543913888991275,0.104323392828627,-0.521372890819191,0.602762462790414
"Sum_Years_Span",-0.0487050470484786,0.0382706563910442,-1.27264728754107,0.204821880451871
"Avg_Females_Obesity_BMI_30kg_m2",-0.0442969896590262,0.0754722447788268,-0.586930861654369,0.558002265906348
"Death_RateRelative_Change",-0.0253301643676143,0.0350672303845941,-0.722331478414744,0.471049378145388
"Animal_based_Food_Average",-0.0252724008395426,0.0354439950715692,-0.713023483625707,0.476775535372253
"Avg_Physical_Act2000_2030",-0.0121851448821089,0.0361264448765056,-0.337291558130408,0.736299027733701
"Annual_FastFood_Sales_USD",0.0120635275731992,0.0393557098040254,0.306525473260943,0.759566912568506
"Avg_Age",-0.0106883344785024,0.0403952434682672,-0.264593886824786,0.791631933021717
